questions,multiple intelligence
You tend to get along well with most people you meet and enjoy working as a team.,Interpersonal intelligence
You learn musical notes quickly and/or enjoy composing songs,musical intelligence
You enjoy reading books and/or articles on a regular basis,linguistic intelligence
"You are easy to understand and apply concepts related to geometry, such as angles, shapes and spatial structures.",spatial intelligence
"You enjoy expressing yourself through movement, whether dancing, acting, or doing artistic activities that involve your body.",kinesthetic intelligence
"When listening to music, do you recognize notes, tones, rhythms and patterns?",musical intelligence
"You enjoy solving puzzles, mazes, or games that require thinking in spatial terms",spatial intelligence
You have outstanding skills in physical activities or sports that require coordination and body control,kinesthetic intelligence
You are aware of your own emotions and how they affect you in your daily life,Intrapersonal intelligence
Do you express yourself clearly when communicating orally or in writing?,linguistic intelligence
"Do you offer help to sick, elderly people or friends?",Interpersonal intelligence
Do you know how to play a musical instrument or have you ever sung in public?,musical intelligence
Do you like working with numbers and performing mental calculations quickly and accurately?,mathematical intelligence
"Do you have the ease of understanding and applying mathematical concepts such as algebra, geometry and statistics?",mathematical intelligence
"Have you demonstrated outstanding skills in activities such as drawing, graphic design, or sculpture?",spatial intelligence
"Do you easily identify patterns, relationships and numerical sequences?",mathematical intelligence
"Are you clear about your long-term personal goals and objectives, and do you follow an action plan to achieve them?",Intrapersonal intelligence
Can you handle stress and challenging situations effectively?,Intrapersonal intelligence
"Do you enjoy writing stories, poetry or song lyrics?",linguistic intelligence
Do you find it easy to imitate other people's movements or gestures accurately?,kinesthetic intelligence
Do you find it easy to understand the emotions and feelings of others?,Interpersonal intelligence
Do you exercise or do physical work,kinesthetic intelligence
"Would you like to do some of these activities: technical drawing, hairdressing, carpentry, repair, artistic projects",spatial intelligence
Are you a good negotiator and do you find it easy to make deals with people?,linguistic intelligence
"Do you enjoy playing puzzle games, solving strategies, playing cards or chess?",mathematical intelligence
You think you have musical talent or skill that you have never been able to develop,musical intelligence
"Do you enjoy planning your personal goals, for example using agendas and/or schedules?",Intrapersonal intelligence
Do your friends or family members often come to you to talk about their personal concerns or ask for advice?,Interpersonal intelligence
